date,open,high,low,close,volume
2020-10-26,128.2554,128.5573,126.7635,127.8469,6926910
2020-10-27,127.6427,128.1311,126.9145,127.1187,4770090
2020-10-28,125.5869,126.0798,122.7053,122.8652,8422659
2020-10-29,122.5455,123.1671,120.8139,121.8262,7201947
2020-10-30,121.3733,122.137,118.6826,121.7552,7364054
2020-11-02,123.4157,123.4424,122.0926,123.1582,7084049
2020-11-03,124.3393,125.174,122.3501,122.9895,6356436
2020-11-04,123.8686,126.577,123.1671,123.7887,10259887
2020-11-05,124.8099,125.9466,123.6644,124.1084,8012459
2020-11-06,124.6767,127.1543,124.0107,126.3195,5941783
2020-11-09,131.803,132.3047,128.6905,129.7206,12340531
2020-11-10,130.7596,132.0916,129.8804,131.6742,7385210
2020-11-11,132.4646,132.4912,130.4133,131.248,6379490
2020-11-12,131.0793,132.0028,130.3188,131.692,4710207
2020-11-13,132.3935,133.5657,131.7897,133.1128,5893495
2020-11-16,134.0186,134.356,133.0249,133.9564,6263223
2020-11-17,133.2016,133.7611,132.4202,132.6244,7295930
2020-11-18,132.1982,132.9885,130.8661,130.8661,6659728
2020-11-19,130.804,130.9461,129.2827,130.6619,7983620
2020-11-20,130.582,131.3723,129.765,129.9693,6354846
2020-11-23,130.5687,130.5687,127.9128,128.655,7306403
2020-11-24,128.7712,129.4553,128.4225,128.655,11033705
2020-11-25,128.8249,128.9233,127.7518,128.4851,7592967
2020-11-27,129.2184,129.3599,128.0737,128.7712,3059001
2020-11-30,128.9769,129.5403,127.9307,129.3793,15653651
2020-12-01,130.8191,133.3587,130.4345,131.8564,9738161
2020-12-02,132.2141,133.8774,132.08,132.4734,7742757
2020-12-03,132.384,133.7611,132.071,133.2425,7305789
2020-12-04,133.9489,134.4139,133.4839,134.3782,6745566
2020-12-07,133.5555,134.0562,132.8043,133.2156,6632769
2020-12-08,134.1367,136.0504,133.7343,135.5228,8336413
2020-12-09,136.6674,137.2666,135.7061,136.9089,8432131
2020-12-10,136.6585,136.8016,135.639,136.1488,7390688
2020-12-11,135.5049,137.1861,135.2366,136.7747,5971806
2020-12-14,137.043,137.2487,133.2335,133.3051,8543938
2020-12-15,134.1367,134.8074,133.7164,134.6464,7662558
2020-12-16,134.3156,134.9594,133.7343,133.8416,8483534
2020-12-17,134.2172,137.6109,134.0965,137.3739,9918616
2020-12-18,137.4007,138.6974,135.6301,138.1698,17130825
2020-12-21,135.9341,137.1861,134.1814,136.8373,7888388
2020-12-22,136.2829,137.6243,135.8,136.5691,4546992
2020-12-23,136.6406,137.3587,135.8358,135.8715,4605664
2020-12-24,135.7911,136.8552,135.7642,136.3455,2114901
2020-12-28,137.1056,137.5974,136.1935,136.9894,3854022
2020-12-29,137.8121,138.5453,137.5348,137.8389,5208600
2020-12-30,138.3754,139.842,138.2502,139.5469,5412136
2020-12-31,139.9761,140.9866,138.7061,140.7362,5098167
2021-01-04,140.611,140.7362,137.8299,139.9493,11764485
2021-01-05,139.7257,141.9703,138.6705,141.5947,9598286
2021-01-06,140.611,143.2848,140.146,142.9271,8228003
2021-01-07,142.1849,144.0002,141.6037,143.41,7741459
2021-01-08,143.5352,144.0628,142.9719,143.1149,8225797
2021-01-11,143.5799,144.2596,141.9792,142.5158,7066137
2021-01-12,142.3191,142.7751,140.6915,141.4069,6900326
2021-01-13,141.4963,141.6976,140.1729,141.1923,6577018
2021-01-14,143.4816,144.8229,142.7304,143.6604,10022717
2021-01-15,143.3474,144.3363,142.2795,143.3474,7618477
2021-01-19,144.8677,145.7977,144.0628,145.5652,9048173
2021-01-20,145.9407,146.7813,144.6888,145.2075,6838290
2021-01-21,144.2596,145.2969,143.1328,144.6262,6817536
2021-01-22,145.1896,147.689,144.7514,146.2537,8121955
2021-01-25,147.5593,148.5251,146.3521,148.4267,9899568
2021-01-26,151.7533,155.2856,151.4761,152.4508,14184804
2021-01-27,151.2347,152.8443,149.7413,150.1258,14198120
2021-01-28,150.412,152.7907,150.0543,151.2704,8925884
2021-01-29,146.8886,148.4446,143.5734,145.8781,22465609
2021-02-01,147.8276,147.8276,145.4042,145.5026,9963197
2021-02-02,146.1017,146.3521,144.1344,144.197,11434103
2021-02-03,143.9198,144.4384,142.6946,143.5263,8600635
2021-02-04,143.9734,144.9481,142.8645,144.8587,7531841
2021-02-05,147.4252,147.9439,146.531,147.0586,9482959
2021-02-08,147.5772,148.3736,146.5488,147.4788,6025739
2021-02-09,147.7292,148.9722,147.5236,148.6861,5537328
2021-02-10,150.1348,150.1795,148.1764,149.169,5917896
2021-02-11,149.3389,149.6787,148.0869,148.4983,4868025
2021-02-12,147.0138,149.2047,146.6561,148.9633,4410900
2021-02-16,148.9633,149.3836,147.2285,147.613,5650938
2021-02-17,147.5236,148.5251,146.9781,148.1406,6678115
2021-02-18,147.5146,148.5877,146.9244,148.2121,5188693
2021-02-19,148.0869,148.4089,145.6814,145.744,8181750
2021-02-22,145.6546,146.2575,144.2329,145.6546,6441974
2021-02-23,145.3037,146.8424,144.3318,144.3678,7040720
2021-02-24,146.1315,147.9221,144.7998,146.3025,10258094
2021-02-25,146.7884,147.3013,145.7626,146.4554,9709095
2021-02-26,145.7716,146.1405,142.1453,142.5862,14341538
2021-03-01,145.2767,145.3486,143.1531,143.36,10538160
2021-03-02,143.774,144.6738,142.7122,143.0901,7601022
2021-03-03,142.3972,142.9821,140.427,140.5706,8488420
2021-03-04,140.3636,140.4626,136.2964,137.7361,11010574
2021-03-05,138.555,140.9935,137.7901,140.4626,8326195
2021-03-08,141.2724,143.369,140.3546,141.6324,6544147
2021-03-09,141.1735,144.6468,141.1735,141.9023,7450628
2021-03-10,142.9101,143.8774,141.5964,143.2071,6632214
2021-03-11,143.558,144.5388,143.0001,143.1981,6300221
2021-03-12,143.324,144.2509,143.2431,143.612,5473102
2021-03-15,143.747,144.5658,142.6222,144.3498,5523565
2021-03-16,144.3858,145.4836,144.1879,145.2047,6368301
2021-03-17,144.7188,145.5286,143.549,144.6648,5999558
2021-03-18,144.1609,145.3127,143.9359,144.3948,4799456
2021-03-19,144.5928,145.3217,143.495,144.0079,14890308
2021-03-22,142.4512,144.5568,142.1723,144.4218,7219346
2021-03-23,144.1609,145.0521,142.9641,144.2869,7176295
2021-03-24,144.0619,146.2035,143.8099,145.6906,6368058
2021-03-25,146.1675,146.1765,144.5478,145.7446,6261420
2021-03-26,145.8525,148.561,145.2137,148.4081,7616440
2021-03-29,147.4182,150.2977,147.2395,149.4069,8532261
2021-03-30,148.489,149.0649,147.7782,148.48,7234117
2021-03-31,148.435,148.822,147.3013,147.8862,8270035
2021-04-01,146.3115,147.4272,146.0055,146.5184,7226505
2021-04-05,147.2473,148.2461,146.3654,147.0583,7384844
2021-04-06,147.6432,148.0391,146.6714,147.0223,5069893
2021-04-07,147.1663,147.8232,146.9557,147.2203,4605855
2021-04-08,147.5712,147.6716,146.5364,146.6444,5035393
2021-04-09,145.8795,146.6084,143.774,145.0967,8411155
2021-04-12,144.9527,145.8436,144.2779,145.4476,5022723
2021-04-13,141.1465,143.9089,140.8495,143.504,18414829
2021-04-14,142.0193,144.0709,141.7583,143.8999,7714271
2021-04-15,144.6198,146.1225,144.1789,144.3228,7523803
2021-04-16,145.1777,146.2305,144.4758,145.9875,9048630
2021-04-19,146.2215,146.7704,144.7278,146.3924,8350333
2021-04-20,144.8717,150.9815,144.8717,149.8028,14048788
2021-04-21,149.7038,150.1897,148.732,149.9018,6332480
2021-04-22,149.2233,149.6228,148.1291,148.633,7232237
2021-04-23,148.0481,149.4249,147.5709,148.9389,6014684
